cosmo_name,smiles,inchi,cosmo_conf,source,exp_dielectric,T,source.1,polar,protic
nitrobenzene,O=[N+]([O-])c1ccccc1,InChI=1/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,1,COSMOtherm,35.6,20.0,,1.0,0
nitroethane,CC[N+](=O)[O-],"InChI=1/C2H5NO2/c1-2-3(4)5/h2H2,1H3",2,COSMOtherm,29.11,15.0,,1.0,0
nitromethane,C[N+](=O)[O-],InChI=1/CH3NO2/c1-2(3)4/h1H3,1,COSMOtherm,37.27,20.0,,1.0,0
octamethylcyclotetrasiloxane,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,"InChI=1/C8H24O4Si4/c1-13(2)9-14(3,4)11-16(7,8)12-15(5,6)10-13/h1-8H3",7,COSMObase,2.39,23.0,,0.0,0
octane,CCCCCCCC,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",2,COSMOtherm,1.948,20.0,,0.0,0
octene,C=CCCCCCC,"InChI=1/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",2,COSMObase,2.113,20.0,,0.0,0
pentadecane,CCCCCCCCCCCCCCC,"InChI=1/C15H32/c1-3-5-7-9-11-13-15-14-12-10-8-6-4-2/h3-15H2,1-2H3",2,COSMObase,2.0391,20.0,,0.0,0
pentane,CCCCC,"InChI=1/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",1,COSMOtherm,1.8371,20.0,,0.0,0
pentanedinitrile,N#CCCCC#N,InChI=1/C5H6N2/c6-4-2-1-3-5-7/h1-3H2,4,COSMObase,,,,,0
perfluoro-n-hexane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1/C6F14/c7-1(8,3(11,12)5(15,16)17)2(9,10)4(13,14)6(18,19)20",1,COSMObase,1.76,25.0,,0.0,0
perfluoroheptane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1/C7F16/c8-1(9,2(10,11)4(14,15)6(18,19)20)3(12,13)5(16,17)7(21,22)23",1,COSMObase,1.847,16.0,,0.0,0
perfluorooctane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1/C8F18/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)26",1,COSMObase,,,,,0
phenylacetonitrile,N#CCc1ccccc1,"InChI=1/C8H7N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6H2",2,COSMObase,17.87,26.0,,0.0,0
piperidine,C1CCNCC1,"InChI=1/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",2,COSMOtherm,4.33,20.0,,0.0,1
propane,CCC,"InChI=1/C3H8/c1-3-2/h3H2,1-2H3",1,COSMOtherm,1.6678,20.0,,0.0,0
propanol,CCCO,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",4,COSMOtherm,20.8,20.0,,1.0,1
propanone,CC(C)=O,InChI=1/C3H6O/c1-3(2)4/h1-2H3,1,COSMOtherm,21.01,20.0,,1.0,0
propionitrile,CCC#N,"InChI=1/C3H5N/c1-2-3-4/h2H2,1H3",1,COSMOtherm,29.7,20.0,,1.0,0
propylenecarbonate,CC1COC(=O)O1,"InChI=1/C4H6O3/c1-3-2-6-4(5)7-3/h3H,2H2,1H3",1,COSMObase,66.14,20.0,,1.0,0
propyleneglycol,CC(O)CO,"InChI=1/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",10,COSMObase,27.5,30.0,,1.0,1
pyridine,c1ccncc1,InChI=1/C5H5N/c1-2-4-6-5-3-1/h1-5H,1,COSMOtherm,13.26,20.0,,0.0,0
pyrrolidine,C1CCNC1,"InChI=1/C4H9N/c1-2-4-5-3-1/h5H,1-4H2",2,COSMOtherm,8.3,20.0,,0.0,1
sec-butylacetate,CCC(C)OC(C)=O,"InChI=1/C6H12O2/c1-4-5(2)8-6(3)7/h5H,4H2,1-3H3",4,COSMObase,5.135,20.0,,0.0,0
so2,O=S=O,InChI=1/O2S/c1-3-2,1,COSMObase,14.3,20.0,,0.0,0
styrene,C=Cc1ccccc1,"InChI=1/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",1,COSMOtherm,2.4737,20.0,,0.0,0
tert-butanol,CC(C)(C)O,"InChI=1/C4H10O/c1-4(2,3)5/h5H,1-3H3",1,COSMOtherm,18.0,20.0,,0.0,1
tert-butylacetate,CC(=O)OC(C)(C)C,"InChI=1/C6H12O2/c1-5(7)8-6(2,3)4/h1-4H3",2,COSMObase,5.672,20.0,,0.0,0
tetrachloroethene,ClC(Cl)=C(Cl)Cl,InChI=1/C2Cl4/c3-1(4)2(5)6,1,COSMOtherm,2.268,30.0,,0.0,0
tetradecane,CCCCCCCCCCCCCC,"InChI=1/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",3,COSMObase,2.0343,20.0,,0.0,0
tetrahydrofurfurylalcohol,OCC1CCCO1,"InChI=1/C5H10O2/c6-4-5-2-1-3-7-5/h5-6H,1-4H2",11,COSMObase,13.48,30.0,,0.0,1
"tetrahydrothiophene-1,1-dioxide",O=S1(=O)CCCC1,InChI=1/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,1,COSMObase,,,,,0
tetralin,c1ccc2c(c1)CCCC2,"InChI=1/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",1,COSMObase,2.771,25.0,,0.0,0
thf,C1CCOC1,InChI=1/C4H8O/c1-2-4-5-3-1/h1-4H2,1,COSMOtherm,7.52,22.0,,0.0,0
thiophene,c1ccsc1,InChI=1/C4H4S/c1-2-4-5-3-1/h1-4H,1,COSMOtherm,2.739,20.0,,0.0,0
thp,C1CCOCC1,InChI=1/C5H10O/c1-2-4-6-5-3-1/h1-5H2,1,COSMObase,5.66,20.0,,0.0,0
toluene,Cc1ccccc1,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",1,COSMOtherm,2.379,23.0,,0.0,0
trans-decalin,C1CCC2CCCCC2C1,"InChI=1/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",1,COSMObase,2.184,20.0,,0.0,0
tri-n-butylamine,CCCCN(CCCC)CCCC,"InChI=1/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",11,COSMObase,2.34,20.0,,0.0,0
tri-n-butylphosphate,CCCCOP(=O)(OCCCC)OCCCC,"InChI=1/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3",35,COSMObase,8.34,20.0,,0.0,0
tricaprylin,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,"InChI=1/C27H50O6/c1-4-7-10-13-16-19-25(28)31-22-24(33-27(30)21-18-15-12-9-6-3)23-32-26(29)20-17-14-11-8-5-2/h24H,4-23H2,1-3H3",20,COSMObase,,,,,0
tridecane,CCCCCCCCCCCCC,"InChI=1/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2,1-2H3",3,COSMObase,2.0213,20.0,,0.0,0
triethylamine,CCN(CC)CC,"InChI=1/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",4,COSMOtherm,2.418,20.0,,0.0,0
triethyleneglycol,OCCOCCOCCO,"InChI=1/C6H14O4/c7-1-3-9-5-6-10-4-2-8/h7-8H,1-6H2",27,COSMObase,23.69,20.0,,1.0,1
triethylphosphate,CCOP(=O)(OCC)OCC,"InChI=1/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3",12,COSMObase,13.2,25.0,,0.0,0
trimethylphosphate,COP(=O)(OC)OC,"InChI=1/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",6,COSMObase,20.6,20.0,,1.0,0
valeronitrile,CCCCC#N,"InChI=1/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",1,COSMObase,20.04,20.0,,1.0,0
