cosmo_name,smiles,inchi,cosmo_conf,source,exp_dielectric,T,source.1,polar,protic
anisole,COc1ccccc1,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",1,COSMOtherm,4.3,21.0,,0.0,0
bcl3,ClB(Cl)Cl,InChI=1/BCl3/c2-1(3)4,1,COSMObase,,,,,0
benzene,c1ccccc1,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,1,COSMOtherm,,2.2825,20,,0
benzonitrile,N#Cc1ccccc1,InChI=1/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,1,COSMOtherm,25.9,20.0,,1.0,0
benzylalcohol,OCc1ccccc1,"InChI=1/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",4,COSMOtherm,11.916,30.0,,0.0,1
benzylamine,NCc1ccccc1,"InChI=1/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",3,COSMOtherm,5.18,20.0,,0.0,1
bicyclohexyl,C1CCC(C2CCCCC2)CC1,"InChI=1/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",2,COSMObase,,,,,0
bromobenzene,Brc1ccccc1,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,1,COSMOtherm,5.45,20.0,,0.0,0
bromoethane,CCBr,"InChI=1/C2H5Br/c1-2-3/h2H2,1H3",1,COSMOtherm,9.01,25.0,,0.0,0
butanal,CCCC=O,"InChI=1/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",2,COSMObase,13.45,25.0,,0.0,0
butane,CCCC,"InChI=1/C4H10/c1-3-4-2/h3-4H2,1-2H3",1,COSMOtherm,1.79697,22.0,,0.0,0
butanone,CCC(C)=O,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",1,COSMOtherm,18.56,20.0,,0.0,0
butoxide,CCC1CO1,"InChI=1/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3",2,COSMObase,,,,,0
butylbenzene,CCCCc1ccccc1,"InChI=1/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",1,COSMObase,2.359,20.0,,0.0,0
butyronitrile,CCCC#N,"InChI=1/C4H7N/c1-2-3-4-5/h2-3H2,1H3",1,COSMOtherm,24.83,20.0,,1.0,0
carbonicdichloride,O=C(Cl)Cl,InChI=1/CCl2O/c2-1(3)4,1,COSMObase,4.3,22.0,,0.0,0
ccl4,ClC(Cl)(Cl)Cl,"InChI=1/CCl4/c2-1(3,4)5",1,COSMOtherm,2.2379,20.0,,0.0,0
ch2cl2,ClCCl,InChI=1/CH2Cl2/c2-1-3/h1H2,1,COSMOtherm,8.93,25.0,,0.0,0
ch2clbr,ClCBr,InChI=1/CH2BrCl/c2-1-3/h1H2,1,COSMObase,,,,,0
ch3i,CI,InChI=1/CH3I/c1-2/h1H3,1,COSMOtherm,6.97,20.0,,0.0,0
chbr3,BrC(Br)Br,InChI=1/CHBr3/c2-1(3)4/h1H,1,COSMOtherm,4.404,20.0,,0.0,0
chcl3,ClC(Cl)Cl,InChI=1/CHCl3/c2-1(3)4/h1H,1,COSMOtherm,4.8069,20.0,,0.0,0
chinoline,c1ccc2ncccc2c1,InChI=1/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,1,COSMOtherm,9.16,20.0,,0.0,0
chlorobenzene,Clc1ccccc1,InChI=1/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,1,COSMOtherm,5.6895,20.0,,0.0,0
chlorocyclohexane,ClC1CCCCC1,"InChI=1/C6H11Cl/c7-6-4-2-1-3-5-6/h6H,1-5H2",1,COSMObase,7.9505,30.0,,0.0,0
"cis-1,2-dichloroethene",ClC=CCl,InChI=1/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-,1,COSMOtherm,9.2,25.0,,0.0,0
cs2,S=C=S,InChI=1/CS2/c2-1-3,1,COSMOtherm,2.632,20.0,,0.0,0
cyanoaceticacidmethylester,COC(=O)CC#N,"InChI=1/C4H5NO2/c1-7-4(6)2-3-5/h2H2,1H3",2,COSMObase,,,,,0
cyclohexane,C1CCCCC1,InChI=1/C6H12/c1-2-4-6-5-3-1/h1-6H2,1,COSMOtherm,2.0243,20.0,,0.0,0
cyclohexanol,OC1CCCCC1,"InChI=1/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",3,COSMOtherm,16.4,20.0,,0.0,1
cyclohexanone,O=C1CCCCC1,InChI=1/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,1,COSMOtherm,16.1,20.0,,0.0,0
cyclohexene,C1=CCCCC1,"InChI=1/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2",1,COSMOtherm,2.2176,20.0,,0.0,0
cyclohexylbenzene,c1ccc(C2CCCCC2)cc1,"InChI=1/C12H16/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1,3-4,7-8,12H,2,5-6,9-10H2",1,COSMObase,,,,,0
cyclopentane,C1CCCC1,InChI=1/C5H10/c1-2-4-5-3-1/h1-5H2,1,COSMOtherm,1.9687,20.0,,0.0,0
cyclopentanone,O=C1CCCC1,InChI=1/C5H8O/c6-5-3-1-2-4-5/h1-4H2,1,COSMOtherm,13.58,25.0,,0.0,0
di-2-ethylhexylphthalate,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,"InChI=1/C24H38O4/c1-5-9-13-19(7-3)17-27-23(25)21-15-11-12-16-22(21)24(26)28-18-20(8-4)14-10-6-2/h11-12,15-16,19-20H,5-10,13-14,17-18H2,1-4H3",20,COSMObase,,,,,0
di-n-butylether,CCCCOCCCC,"InChI=1/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",6,COSMOtherm,3.083,20.0,,0.0,0
di-n-propylether,CCCOCCC,"InChI=1/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3",4,COSMOtherm,3.38,24.0,,0.0,0
dibenzylether,c1ccc(COCc2ccccc2)cc1,"InChI=1/C14H14O/c1-3-7-13(8-4-1)11-15-12-14-9-5-2-6-10-14/h1-10H,11-12H2",7,COSMObase,3.821,20.0,,0.0,0
dibutylamine,CCCCNCCCC,"InChI=1/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3",6,COSMOtherm,2.765,20.0,,0.0,1
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,"InChI=1/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",12,COSMObase,6.58,20.0,,0.0,0
dichloroaceticacid,O=C(O)C(Cl)Cl,"InChI=1/C2H2Cl2O2/c3-1(4)2(5)6/h1H,(H,5,6)/f/h5H",4,COSMObase,8.33,20.0,,0.0,1
diethylacetamide,CCN(CC)C(C)=O,"InChI=1/C6H13NO/c1-4-7(5-2)6(3)8/h4-5H2,1-3H3",1,COSMObase,32.1,20.0,,1.0,0
diethyleneglycol,OCCOCCO,"InChI=1/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",26,COSMObase,31.82,20.0,,1.0,1
diethyleneglycolmonobutylether,CCCCOCCOCCO,"InChI=1/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3",26,COSMObase,,,,,1
diethyleneglycolmonoethylether,CCOCCOCCO,"InChI=1/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3",21,COSMObase,,,,,1
diethylether,CCOCC,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",3,COSMOtherm,4.2666,20.0,,0.0,0
diethylphthalate,CCOC(=O)c1ccccc1C(=O)OCC,"InChI=1/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",15,COSMObase,7.86,20.0,,0.0,0
diglyme,COCCOCCOC,"InChI=1/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3",18,COSMObase,7.23,25.0,,0.0,0
diiodomethane,ICI,InChI=1/CH2I2/c2-1-3/h1H2,1,COSMObase,5.32,25.0,,0.0,0
diisopropylether,CC(C)OC(C)C,"InChI=1/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",3,COSMOtherm,3.805,30.0,,0.0,0
dimethoxymethane,COCOC,"InChI=1/C3H8O2/c1-4-3-5-2/h3H2,1-2H3",1,COSMObase,2.644,20.0,,0.0,0
dimethylcarbonate,COC(=O)OC,InChI=1/C3H6O3/c1-5-3(4)6-2/h1-2H3,2,COSMObase,3.087,25.0,,0.0,0
dimethylformamide,CN(C)C=O,"InChI=1/C3H7NO/c1-4(2)3-5/h3H,1-2H3",1,COSMOtherm,38.25,20.0,,1.0,0
dimethylsulfide,CSC,InChI=1/C2H6S/c1-3-2/h1-2H3,1,COSMOtherm,6.7,21.0,,0.0,0
dimethylsulfoxide,CS(C)=O,InChI=1/C2H6OS/c1-4(2)3/h1-2H3,1,COSMOtherm,47.24,20.0,,1.0,0
dioxane,C1COCCO1,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,1,COSMOtherm,2.2189,20.0,,0.0,0
diphenylether,c1ccc(Oc2ccccc2)cc1,InChI=1/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,1,COSMOtherm,3.726,10.0,,0.0,0
dodecane,CCCCCCCCCCCC,"InChI=1/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",4,COSMObase,2.012,20.0,,0.0,0
dodecanol,CCCCCCCCCCCCO,"InChI=1/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3",3,COSMObase,5.82,30.0,,0.0,1
ethanol,CCO,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",2,COSMOtherm,25.3,20.0,,1.0,1
ethanolamine,NCCO,"InChI=1/C2H7NO/c3-1-2-4/h4H,1-3H2",10,COSMOtherm,31.94,20.0,,1.0,1
ethoxybenzene,CCOc1ccccc1,"InChI=1/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",1,COSMOtherm,4.216,20.0,,0.0,0
ethoxyethanol,CCOCCO,"InChI=1/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",10,COSMOtherm,13.38,25.0,,0.0,1
ethylacetate,CCOC(C)=O,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",3,COSMOtherm,6.0814,20.0,,0.0,0
ethylamine,CCN,"InChI=1/C2H7N/c1-2-3/h2-3H2,1H3",2,COSMOtherm,8.7,0.0,,0.0,1
ethylbenzene,CCc1ccccc1,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",1,COSMOtherm,2.4463,20.0,,0.0,0
ethylbenzoate,CCOC(=O)c1ccccc1,"InChI=1/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3",2,COSMObase,6.2,20.0,,0.0,0
ethylbutyrate,CCCC(=O)OCC,"InChI=1/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3",5,COSMObase,5.18,28.0,,0.0,0
ethylenecyanohydrin,N#CCCO,"InChI=1/C3H5NO/c4-2-1-3-5/h5H,1,3H2",5,COSMObase,,,,,1
ethyleneoxide,C1CO1,InChI=1/C2H4O/c1-2-3-1/h1-2H2,1,COSMObase,12.42,20.0,,0.0,0
